,loss,accuracy,val_loss,val_accuracy,sparsity,j,i
34,0.13487015664577484,0.9803666472434998,0.20453761518001556,0.9616000056266785,0.6339556724267468,3,0
41,0.1341785341501236,0.9805333614349365,0.22190077602863312,0.9559000134468079,0.7382719759579264,3,0
74,0.13394157588481903,0.9800000190734863,0.193669855594635,0.9648000001907349,0.816671675432006,3,0
97,0.1313125044107437,0.9803166389465332,0.18941622972488403,0.9641000032424927,0.8728437265214125,3,0
109,0.13391824066638947,0.9798333048820496,0.21654833853244781,0.9549999833106995,0.910495867768595,3,0
126,0.12880229949951172,0.9803666472434998,0.17473448812961578,0.9678000211715698,0.933335837716003,3,0
156,0.1190495640039444,0.9816666841506958,0.21229848265647888,0.9593999981880188,0.9450638617580767,3,0
160,0.11664023250341415,0.982616662979126,0.1901291459798813,0.9617999792098999,0.9493801652892562,3,0
9,0.13451872766017914,0.9806166887283325,0.20026947557926178,0.960099995136261,0.5,4,0
37,0.1324017345905304,0.9804333448410034,0.2170594185590744,0.9556000232696533,0.6339556724267468,4,0
58,0.1322845220565796,0.9802833199501038,0.21312612295150757,0.9567000269889832,0.7382719759579264,4,0
60,0.13567061722278595,0.9801333546638489,0.22179314494132996,0.9555000066757202,0.816671675432006,4,0
91,0.13564510643482208,0.9795166850090027,0.21499209105968475,0.9593999981880188,0.8728437265214125,4,0
109,0.1355484426021576,0.9792166948318481,0.19908200204372406,0.9624000191688538,0.910495867768595,4,0
131,0.1258435994386673,0.980816662311554,0.1910410225391388,0.9635000228881836,0.933335837716003,4,0
150,0.1222684308886528,0.9809666872024536,0.17722518742084503,0.967199981212616,0.9450638617580767,4,0
180,0.11673149466514587,0.9820833206176758,0.1928318589925766,0.9614999890327454,0.9493801652892562,4,0
3,0.13538596034049988,0.9802500009536743,0.2087484896183014,0.9602000117301941,0.5,5,0
21,0.13402284681797028,0.9801333546638489,0.22526167333126068,0.9538000226020813,0.6339556724267468,5,0
47,0.13408337533473969,0.9797833561897278,0.20893657207489014,0.9617999792098999,0.7382719759579264,5,0
69,0.13213609158992767,0.9795666933059692,0.2245958298444748,0.9544000029563904,0.816671675432006,5,0
87,0.13515788316726685,0.979366660118103,0.213239386677742,0.9575999975204468,0.8728437265214125,5,0
88,0.13416478037834167,0.979366660118103,0.18899136781692505,0.9649999737739563,0.8728437265214125,5,0
114,0.1368025243282318,0.9786666631698608,0.20581631362438202,0.9588000178337097,0.910495867768595,5,0
137,0.1288023293018341,0.9801666736602783,0.21457475423812866,0.95660001039505,0.933335837716003,5,0
154,0.12277474999427795,0.9811333417892456,0.21012091636657715,0.9577999711036682,0.9450638617580767,5,0
197,0.11844779551029205,0.9814833402633667,0.21716921031475067,0.9552000164985657,0.9493801652892562,5,0
2,0.00011405675468267873,1.0,0.10313702374696732,0.9832000136375427,0.5,1,1
3,7.048469706205651e-05,1.0,0.1027507409453392,0.9837999939918518,0.5,1,1
4,7.696789543842897e-05,1.0,0.10116082429885864,0.9836000204086304,0.5,1,1
5,5.9910791605943814e-05,1.0,0.10147882997989655,0.9837999939918518,0.5,1,1
6,3.976715379394591e-05,1.0,0.10144802182912827,0.9836999773979187,0.5,1,1
7,3.926394128939137e-05,1.0,0.10227681696414948,0.9840999841690063,0.5,1,1
8,2.8136055334471166e-05,1.0,0.10286329686641693,0.9840999841690063,0.5,1,1
9,2.451843101880513e-05,1.0,0.10360784828662872,0.9837999939918518,0.5,1,1
10,2.076475902867969e-05,1.0,0.10381139069795609,0.9840999841690063,0.5,1,1
11,1.6823447367642075e-05,1.0,0.10368704795837402,0.9840999841690063,0.5,1,1
12,1.3348540960578248e-05,1.0,0.10524100065231323,0.9840999841690063,0.5,1,1
17,6.593758735107258e-05,1.0,0.1021939218044281,0.9843000173568726,0.5,1,1
18,3.026550075446721e-05,1.0,0.10179761797189713,0.984499990940094,0.5,1,1
