,loss,accuracy,val_loss,val_accuracy,sparsity,j,i
9,0.2190319150686264,0.9710999727249146,0.2846778333187103,0.9467999935150146,0.0,1,0
11,0.20540112257003784,0.9730833172798157,0.23980534076690674,0.9581999778747559,3.756574004507889e-06,1,0
17,0.18621137738227844,0.9742000102996826,0.22078996896743774,0.9624000191688538,7.513148009015778e-06,1,0
20,0.17824316024780273,0.9752166867256165,0.2768040895462036,0.9442999958992004,0.6009879789631856,1,0
34,0.1640167534351349,0.9765333533287048,0.2583865225315094,0.9459999799728394,0.6009917355371901,1,0
39,0.16421334445476532,0.9755666851997375,0.23049382865428925,0.9526000022888184,0.6009954921111946,1,0
55,0.15665116906166077,0.9767000079154968,0.20856203138828278,0.9614999890327454,0.7101202103681442,1,0
60,0.15745407342910767,0.9763500094413757,0.23550578951835632,0.9538999795913696,0.7313786626596543,1,0
64,0.1542445570230484,0.977233350276947,0.22826384007930756,0.9560999870300293,0.7313824192336589,1,0
89,0.15009310841560364,0.9774333238601685,0.23105725646018982,0.9542999863624573,0.7377347858752817,1,0
103,0.14704537391662598,0.9777833223342896,0.21115082502365112,0.9603000283241272,0.7491885800150263,1,0
110,0.14638668298721313,0.9780666828155518,0.22195357084274292,0.9545000195503235,0.7491923365890308,1,0
137,0.14738085865974426,0.9772666692733765,0.19249668717384338,0.9672999978065491,0.7553343350864012,1,0
143,0.14869746565818787,0.9774666428565979,0.20323334634304047,0.9613999724388123,0.7553794139744553,1,0
195,0.1438758820295334,0.9781000018119812,0.20129558444023132,0.9610999822616577,0.7577761081893313,1,0
5,0.2514054477214813,0.9684333205223083,0.27011415362358093,0.9599000215530396,0.0,2,0
11,0.20752964913845062,0.9724500179290771,0.23213723301887512,0.9634000062942505,7.513148009015778e-06,2,0
13,0.201528862118721,0.9724500179290771,0.2549930214881897,0.9550999999046326,1.1269722013523667e-05,2,0
17,0.19041606783866882,0.9732333421707153,0.22990861535072327,0.9610000252723694,1.5026296018031556e-05,2,0
19,0.18440018594264984,0.9740833044052124,0.22787675261497498,0.9603000283241272,1.8782870022539446e-05,2,0
33,0.16402806341648102,0.9763166904449463,0.228574737906456,0.9550999999046326,0.04203981968444778,2,0
37,0.1653468757867813,0.9756666421890259,0.2507312297821045,0.9498000144958496,0.04204357625845229,2,0
56,0.15589095652103424,0.9774166941642761,0.21215716004371643,0.9589999914169312,0.7087077385424493,2,0
75,0.14862558245658875,0.9782166481018066,0.2258799821138382,0.953000009059906,0.7144027047332833,2,0
96,0.14291474223136902,0.9786666631698608,0.1980140209197998,0.9632999897003174,0.7227535687453043,2,0
102,0.14620043337345123,0.9782000184059143,0.2117300033569336,0.9591000080108643,0.7308226897069873,2,0
109,0.1446591019630432,0.9789166450500488,0.1887250691652298,0.9666000008583069,0.7308264462809917,2,0
131,0.14190569519996643,0.9784833192825317,0.18456749618053436,0.9684000015258789,0.7374417731029301,2,0
153,0.13982005417346954,0.9786666631698608,0.179609015583992,0.9690999984741211,0.7520285499624343,2,0
162,0.13917820155620575,0.979283332824707,0.18842972815036774,0.9656000137329102,0.7578287002253944,2,0
4,0.264769971370697,0.9662500023841858,0.2933458685874939,0.955299973487854,0.0,3,0
18,0.1867138296365738,0.9741166830062866,0.2746358811855316,0.9455000162124634,3.756574004507889e-06,3,0
39,0.1630997359752655,0.9763500094413757,0.21339240670204163,0.9602000117301941,0.5999398948159279,3,0
59,0.15666046738624573,0.977150022983551,0.22253923118114471,0.9588000178337097,0.7064237415477085,3,0
77,0.14970140159130096,0.9779833555221558,0.23664994537830353,0.9526000022888184,0.7067167543200601,3,0
85,0.14907865226268768,0.9778833389282227,0.22867734730243683,0.954200029373169,0.7335762584522915,3,0
105,0.15008069574832916,0.9776333570480347,0.21221333742141724,0.9574000239372253,0.7465552216378663,3,0
128,0.14493978023529053,0.9779000282287598,0.19795456528663635,0.963100016117096,0.754259954921112,3,0
199,0.14132443070411682,0.978683352470398,0.17610962688922882,0.9664000272750854,0.7566942148760331,3,0
5,0.24818602204322815,0.9682833552360535,0.2880259156227112,0.9541000127792358,0.0,4,0
7,0.226193368434906,0.9709500074386597,0.25623294711112976,0.9605000019073486,3.756574004507889e-06,4,0
10,0.21328485012054443,0.9712166786193848,0.22590018808841705,0.967199981212616,1.1269722013523667e-05,4,0
